codigo,nombre,tipo,torre,apartamento,coef_participacion,cuota_admin,area_m2,doc_propietario,tipo_doc_propietario,activo,notas
PH200,APARTAMENTO 200,APARTAMENTO,Torre 1,200,1.78,0,17.83,1130636393,NO,Si,Parqueadero cubierto
PH201,APARTAMENTO 201,APARTAMENTO,Torre 1,201,2.45,0,24.5,1130636393,NO,Si,
PH202,APARTAMENTO 202,APARTAMENTO,Torre 1,202,2.54,0,25.4,,NO,Si,
PH203,APARTAMENTO 203,APARTAMENTO,Torre 1,203,2.64,0,26.39,1130636393,NO,Si,
PH301,APARTAMENTO 301,APARTAMENTO,Torre 2,301,7.8,0,77.98,,NO,Si,
PH302,APARTAMENTO 302,APARTAMENTO,Torre 2,302,5.67,0,56.67,,NO,Si,
PH303,APARTAMENTO 303,APARTAMENTO,Torre 2,303,7.72,0,77.18,,NO,Si,
PH304,APARTAMENTO 304,APARTAMENTO,Torre 2,304,8.11,0,81.07,,NO,Si,
PH401,APARTAMENTO 401,APARTAMENTO,Torre 2,401,7.43,0,74.3,,NO,Si,
PH402,APARTAMENTO 402,APARTAMENTO,Torre 2,402,5.55,0,55.47,,NO,Si,
PH501,APARTAMENTO 501,APARTAMENTO,Torre 3,501,7.43,0,74.3,,NO,Si,
PH502,APARTAMENTO 502,APARTAMENTO,Torre 3,502,6.1,0,61.05,,NO,Si,
PH601,APARTAMENTO 601,APARTAMENTO,Torre 3,601,7.84,0,78.38,,NO,Si,
PH602,APARTAMENTO 602,APARTAMENTO,Torre 3,602,12.08,0,120.8,,NO,Si,
PH701,APARTAMENTO 701,APARTAMENTO,Torre 3,701,7.43,0,74.3,,NO,Si,
